  0.0000000E+00  0.1000000E+01  0.0000000E+00  0.2795669E-03  0.1556680E-02  0.4931439E-02
  0.1000000E-03  0.1000000E+01  0.6666667E-04  0.2869307E-03  0.1597333E-02  0.5059579E-02
  0.2000000E-03  0.1000000E+01  0.1333333E-03  0.2942945E-03  0.1637985E-02  0.5187719E-02
  0.3000000E-03  0.1000000E+01  0.2000000E-03  0.3016583E-03  0.1678637E-02  0.5315859E-02
  0.4000000E-03  0.1000000E+01  0.2666667E-03  0.3090221E-03  0.1719290E-02  0.5443999E-02
  0.5000000E-03  0.1000000E+01  0.3333333E-03  0.3163859E-03  0.1759942E-02  0.5572139E-02
  0.6000000E-03  0.1000000E+01  0.4000000E-03  0.3237497E-03  0.1800594E-02  0.5700280E-02
  0.7000000E-03  0.1000000E+01  0.4666667E-03  0.3311135E-03  0.1841246E-02  0.5828420E-02
  0.8000000E-03  0.1000000E+01  0.5333333E-03  0.3384773E-03  0.1881899E-02  0.5956560E-02
  0.9000000E-03  0.1000000E+01  0.6000000E-03  0.3458412E-03  0.1922551E-02  0.6084700E-02
  0.1000000E-02  0.1000000E+01  0.6666667E-03  0.3532050E-03  0.1963203E-02  0.6212840E-02
  0.1100000E-02  0.1000000E+01  0.7333334E-03  0.3605688E-03  0.2003855E-02  0.6340981E-02
  0.1200000E-02  0.1000000E+01  0.8000000E-03  0.3679326E-03  0.2044508E-02  0.6469121E-02
  0.1300000E-02  0.1000000E+01  0.8666667E-03  0.3752964E-03  0.2085160E-02  0.6597261E-02
  0.1400000E-02  0.1000000E+01  0.9333334E-03  0.3826602E-03  0.2125812E-02  0.6725401E-02
  0.1500000E-02  0.1000000E+01  0.1000000E-02  0.3900240E-03  0.2166465E-02  0.6853541E-02
  0.1600000E-02  0.1000000E+01  0.1066667E-02  0.3973878E-03  0.2207117E-02  0.6981682E-02
  0.1700000E-02  0.1000000E+01  0.1133333E-02  0.4047516E-03  0.2247769E-02  0.7109822E-02
  0.1800000E-02  0.1000000E+01  0.1200000E-02  0.4121154E-03  0.2288421E-02  0.7237962E-02
  0.1900000E-02  0.1000001E+01  0.1266668E-02  0.4194794E-03  0.2329074E-02  0.7366105E-02
  0.2000000E-02  0.1000001E+01  0.1333335E-02  0.4268432E-03  0.2369727E-02  0.7494245E-02
  0.2100000E-02  0.1000001E+01  0.1400001E-02  0.4342070E-03  0.2410379E-02  0.7622385E-02
  0.2200000E-02  0.1000001E+01  0.1466668E-02  0.4415708E-03  0.2451031E-02  0.7750526E-02
  0.2300000E-02  0.1000001E+01  0.1533335E-02  0.4489346E-03  0.2491684E-02  0.7878666E-02
  0.2400000E-02  0.1000001E+01  0.1600002E-02  0.4562984E-03  0.2532336E-02  0.8006806E-02
  0.2500000E-02  0.1000001E+01  0.1666668E-02  0.4636622E-03  0.2572988E-02  0.8134946E-02
  0.2600000E-02  0.1000001E+01  0.1733335E-02  0.4710261E-03  0.2613641E-02  0.8263087E-02
  0.2700000E-02  0.1000001E+01  0.1800002E-02  0.4783899E-03  0.2654293E-02  0.8391227E-02
  0.2800000E-02  0.1000001E+01  0.1866669E-02  0.4857537E-03  0.2694945E-02  0.8519367E-02
  0.2900000E-02  0.1000001E+01  0.1933335E-02  0.4931175E-03  0.2735598E-02  0.8647508E-02
