0.000000 0.000000
0.004426 0.004137
0.035420 0.032060
0.084130 0.075510
0.118000 0.106500
0.149000 0.137500
0.184400 0.171700
0.216900 0.201200
0.250800 0.236900
0.298100 0.285000
0.346800 0.336200
0.395400 0.389000
0.433800 0.432400
0.470700 0.474300
0.516400 0.527100
0.545900 0.559700
0.573900 0.592300
0.621100 0.648200
0.666900 0.697900
0.715500 0.753800
0.755400 0.795700
0.824700 0.868600
0.870500 0.909000
0.911800 0.943100
0.935500 0.960200
0.963500 0.980300
0.991600 0.995800
1.000000 1.000000
