 -2.5 -0.5  44000    0  -1.200  -0.370  -0.160  -0.470  -0.251  -0.041  -1.060  -4.456
 -2.5 -0.5  38450    0  -1.175  -0.344  -0.145  -0.435  -0.237  -0.038  -1.000  -4.026
 -2.5 -0.5  34174    0  -1.141  -0.303  -0.122  -0.384  -0.213  -0.034  -0.900  -3.671
 -2.5 -0.5  30767    0  -1.110  -0.262  -0.106  -0.329  -0.190  -0.030  -0.800  -3.318
 -2.5 -0.5  26892    0  -1.068  -0.224  -0.083  -0.275  -0.166  -0.026  -0.700  -2.809
 -2.5 -0.5  23638    0  -1.004  -0.200  -0.075  -0.244  -0.143  -0.022  -0.600  -2.306
 -2.5 -0.5  21296    0  -0.947  -0.182  -0.066  -0.219  -0.119  -0.019  -0.500  -1.949
 -2.5 -0.5  18901    0  -0.896  -0.167  -0.055  -0.196  -0.096  -0.015  -0.400  -1.665
 -2.5 -0.5  16645    0  -0.796  -0.134  -0.048  -0.152  -0.073  -0.012  -0.300  -1.390
 -2.5 -0.5  14826    0  -0.708  -0.109  -0.039  -0.117  -0.050  -0.008  -0.200  -1.088
 -2.5 -0.5  13242    0  -0.607  -0.082  -0.029  -0.074  -0.026  -0.005  -0.100  -0.789
 -2.5 -0.5  11783    0  -0.491  -0.052  -0.019  -0.024  -0.003  -0.001   0.000  -0.559
 -2.5 -0.5  10402    0  -0.376  -0.025  -0.009   0.020   0.021   0.002   0.100  -0.360
 -2.5 -0.5   9170    0  -0.204   0.004   0.005   0.068   0.045   0.006   0.200  -0.159
 -2.5 -0.5   8385    0  -0.093   0.032   0.025   0.117   0.069   0.009   0.300  -0.035
 -2.5 -0.5   7959    0  -0.088   0.072   0.048   0.174   0.093   0.013   0.400   0.003
 -2.5 -0.5   7656    0  -0.112   0.110   0.073   0.229   0.118   0.016   0.500   0.012
 -2.5 -0.5   7402    0  -0.147   0.147   0.098   0.282   0.143   0.020   0.600   0.011
 -2.5 -0.5   7163    0  -0.228   0.177   0.123   0.335   0.168   0.024   0.700   0.003
 -2.5 -0.5   6928    0  -0.282   0.206   0.148   0.385   0.194   0.028   0.800  -0.011
 -2.5 -0.5   6704    0  -0.343   0.234   0.173   0.437   0.222   0.033   0.900  -0.029
 -2.5 -0.5   6510    0  -0.404   0.262   0.196   0.489   0.251   0.038   1.000  -0.048
 -2.5 -0.5   6341    0  -0.460   0.292   0.218   0.541   0.281   0.044   1.100  -0.068
 -2.5 -0.5   6181    0  -0.502   0.324   0.238   0.590   0.313   0.049   1.200  -0.088
 -2.5 -0.5   6025    0  -0.524   0.360   0.259   0.636   0.345   0.055   1.300  -0.109
 -2.5 -0.5   5875    0  -0.524   0.399   0.280   0.679   0.377   0.060   1.400  -0.130
 -2.5 -0.5   5735    0  -0.501   0.442   0.301   0.720   0.410   0.065   1.500  -0.152
 -2.5 -0.5   5605    0  -0.457   0.487   0.322   0.759   0.442   0.070   1.600  -0.176
 -2.5 -0.5   5484    0  -0.400   0.536   0.344   0.797   0.474   0.075   1.700  -0.200
 -2.5 -0.5   5372    0  -0.325   0.585   0.366   0.834   0.506   0.080   1.800  -0.225
 -2.5 -0.5   5269    0  -0.244   0.636   0.388   0.870   0.539   0.084   1.900  -0.251
 -2.5 -0.5   5175    0  -0.151   0.688   0.411   0.906   0.570   0.089   2.000  -0.276
 -2.5 -0.5   5087    0  -0.056   0.740   0.433   0.941   0.602   0.093   2.100  -0.302
 -2.5 -0.5   5003    0   0.038   0.793   0.456   0.975   0.633   0.098   2.200  -0.327
 -2.5 -0.5   4919    0   0.129   0.847   0.479   1.008   0.664   0.102   2.300  -0.353
 -2.5 -0.5   4826    0   0.218   0.903   0.502   1.041   0.695   0.107   2.400  -0.384
 -2.5 -0.5   4727    0   0.310   0.961   0.525   1.074   0.726   0.111   2.500  -0.422
 -2.5 -0.5   4635    0   0.411   1.021   0.549   1.110   0.755   0.115   2.600  -0.465
 -2.5 -0.5   4551    0   0.524   1.083   0.573   1.148   0.785   0.120   2.700  -0.509
 -2.5 -0.5   4469    0   0.652   1.148   0.597   1.189   0.813   0.125   2.800  -0.558
 -2.5 -0.5   4389    0   0.791   1.213   0.621   1.234   0.840   0.130   2.900  -0.611
 -2.5 -0.5   4310    0   0.939   1.278   0.645   1.280   0.867   0.134   3.000  -0.666
 -2.5 -0.5   4238    0   1.077   1.341   0.669   1.329   0.893   0.140   3.100  -0.722
 -2.5 -0.5   4169    0   1.225   1.403   0.692   1.378   0.918   0.145   3.200  -0.782
 -2.5 -0.5   4099    0   1.364   1.462   0.715   1.430   0.942   0.150   3.300  -0.843
 -2.5 -0.5   4032    0   1.499   1.517   0.738   1.482   0.965   0.156   3.400  -0.906
 -2.5 -0.5   3972    0   1.620   1.566   0.761   1.536   0.988   0.161   3.500  -0.971
 -2.5 -0.5   3916    0   1.725   1.610   0.783   1.589   1.011   0.167   3.600  -1.038
 -2.5 -0.5   3861    0   1.813   1.648   0.805   1.643   1.032   0.172   3.700  -1.106
 -2.5 -0.5   3816    0   1.885   1.678   0.826   1.695   1.053   0.178   3.800  -1.174
