line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.246877225176552E+06    8.999974  3.608671  4.417228  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.3408  4.417228  -10.036  1.153103  7.528586  0.7350333E+00  0.2588761E+00  1.3305354E-05  3.5790741E-06  1.9142217E-03  1.8826135E-03  7.6822073E-06  8.3668538E-09  8.0438135E-04  6.5060718E-05  0.000E+00  1.901E-05  1.805E-05  9.985E-01  1.002E+00  6.07E+02  0.00E+00  4.11E+01  0.101453  0.012056  0.0000000E+00  1.2236930146E-02
  2  0.922704418428513E+06    8.999912  3.612849  4.412440  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.3389  4.412440  -10.034  1.130187  7.522025  0.7266228E+00  0.2673854E+00  1.7607883E-05  4.7334841E-06  2.5924737E-03  1.1029971E-03  4.8158550E-06  4.7512878E-09  8.0438135E-04  6.5060718E-05  0.000E+00  1.826E-05  1.805E-05  9.985E-01  1.002E+00  5.99E+02  0.00E+00  4.06E+01  0.101453  0.012173  0.0000000E+00  1.2236164322E-02
  3  0.160646862459032E+07    8.999848  3.618193  4.410562  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.3369  4.410562  -10.022  1.121453  7.520077  0.7183012E+00  0.2757531E+00  1.9601448E-05  5.2699087E-06  2.9090576E-03  7.3929790E-04  3.2912991E-06  3.3013743E-09  8.0438135E-04  6.5060718E-05  0.000E+00  1.780E-05  1.805E-05  9.985E-01  1.002E+00  5.94E+02  0.00E+00  4.02E+01  0.101453  0.012324  0.0000000E+00  1.2235389876E-02
  4  0.230577292634672E+07    8.999780  3.623874  4.409519  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.3342  4.409519  -10.006  1.116659  7.519514  0.7099548E+00  0.2841254E+00  2.0786033E-05  5.5870832E-06  3.0870302E-03  5.3477266E-04  2.3937607E-06  2.3814037E-09  8.0438135E-04  6.5060718E-05  0.000E+00  1.731E-05  1.795E-05  9.985E-01  1.002E+00  5.91E+02  0.00E+00  3.96E+01  0.100344  0.012486  0.0000000E+00  1.2234576311E-02
  5  0.295845694131937E+07    8.999715  3.629455  4.408804  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.3323  4.408804   -9.990  1.113725  7.519480  0.7018288E+00  0.2922683E+00  2.1559165E-05  5.7956367E-06  3.2030621E-03  4.0143513E-04  1.7989858E-06  1.7345783E-09  8.0438135E-04  6.5060718E-05  0.000E+00  1.691E-05  1.790E-05  9.985E-01  1.002E+00  5.88E+02  0.00E+00  3.90E+01  0.099475  0.012648  0.0000000E+00  1.2233792392E-02
  6  0.361114095629201E+07    8.999647  3.635035  4.408231  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.3297  4.408231   -9.974  1.111597  7.519776  0.6934855E+00  0.3006233E+00  2.2122340E-05  5.9463499E-06  3.2824192E-03  3.1019226E-04  1.3859381E-06  1.3194372E-09  8.0438135E-04  6.5060718E-05  0.000E+00  1.655E-05  1.786E-05  9.986E-01  1.002E+00  5.85E+02  0.00E+00  3.86E+01  0.098691  0.012812  0.0000000E+00  1.2232981728E-02
  7  0.425139289478899E+07    8.999577  3.640614  4.407728  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.3272  4.407728   -9.957  1.110070  7.520258  0.6851501E+00  0.3089665E+00  2.2498498E-05  6.0476934E-06  3.3363111E-03  2.4824121E-04  1.1023797E-06  1.0659598E-09  8.0438135E-04  6.5060718E-05  0.000E+00  1.622E-05  1.784E-05  9.986E-01  1.002E+00  5.83E+02  0.00E+00  3.81E+01  0.098010  0.012977  0.0000000E+00  1.2232157776E-02
  8  0.485279459429948E+07    8.999510  3.646152  4.407312  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.3249  4.407312   -9.941  1.109125  7.520844  0.6769141E+00  0.3172086E+00  2.2832930E-05  6.1378164E-06  3.3776099E-03  2.0068800E-04  8.8683762E-07  8.4352669E-10  8.0438135E-04  6.5060718E-05  0.000E+00  1.592E-05  1.782E-05  9.986E-01  1.002E+00  5.80E+02  0.00E+00  3.77E+01  0.097378  0.013144  0.0000000E+00  1.2231356205E-02
