line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.250806015289018E+06    8.999976  3.596469  4.407142  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.3353  4.407142  -10.077  1.156479  7.527667  0.7350479E+00  0.2588609E+00  1.3250828E-05  3.5654953E-06  1.9102058E-03  1.8872614E-03  7.7138354E-06  9.8846013E-09  8.0438135E-04  6.5060718E-05  0.000E+00  1.143E-04  1.078E-04  9.376E-01  1.061E+00  6.09E+02  0.00E+00  2.64E+02  0.608570  0.011722  0.0000000E+00  7.0076431881E-02
  2  0.102546765068646E+07    8.999910  3.601496  4.405133  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.3343  4.405133  -10.069  1.133821  7.521350  0.7267276E+00  0.2672768E+00  1.7410413E-05  4.6864702E-06  2.5668753E-03  1.1324251E-03  4.9723600E-06  6.5273040E-09  8.0438135E-04  6.5060718E-05  0.000E+00  9.330E-05  1.135E-04  9.572E-01  1.048E+00  6.01E+02  0.00E+00  2.15E+02  0.514399  0.011859  0.0000000E+00  7.0072000511E-02
  3  0.171075133286197E+07    8.999851  3.606772  4.403649  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.3324  4.403649  -10.057  1.124838  7.519324  0.7185695E+00  0.2754825E+00  1.9455089E-05  5.2316882E-06  2.8929366E-03  7.5786336E-04  3.3979365E-06  4.0680762E-09  8.0438135E-04  6.5060718E-05  0.000E+00  8.839E-05  1.135E-04  9.601E-01  1.045E+00  5.96E+02  0.00E+00  2.06E+02  0.498198  0.012004  0.0000000E+00  7.0068284745E-02
  4  0.235197628854444E+07    8.999794  3.611841  4.402513  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874617E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.3300  4.402513  -10.043  1.119731  7.518545  0.7103115E+00  0.2837700E+00  2.0789713E-05  5.5874738E-06  3.0951136E-03  5.2554104E-04  2.3810406E-06  2.2324424E-09  8.0438135E-04  6.5060718E-05  0.000E+00  8.627E-05  1.126E-04  9.607E-01  1.044E+00  5.93E+02  0.00E+00  2.04E+02  0.494732  0.012145  0.0000000E+00  7.0064746564E-02
  5  0.296256404936281E+07    8.999738  3.616667  4.401642  0.7380571E+00  0.2559004E+00  9.7849380E-04  1.1874711E-05  2.8232490E-04  2.4507751E-03  9.7097202E-07  5.5284601E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.3268  4.401642  -10.030  1.116379  7.518373  0.7020791E+00  0.2920213E+00  2.1643330E-05  5.8168972E-06  3.2248432E-03  3.7648854E-04  1.7088449E-06  1.5990080E-09  8.0438135E-04  6.5060718E-05  0.000E+00  8.494E-05  1.116E-04  9.608E-01  1.044E+00  5.90E+02  0.00E+00  2.02E+02  0.494144  0.012281  0.0000000E+00  7.0061265350E-02
  6  0.357315181018119E+07    8.999680  3.621898  4.401008  0.7380571E+00  0.2559004E+00  9.7849193E-04  1.1876028E-05  2.8232575E-04  2.4507750E-03  9.7097274E-07  5.5284570E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.3248  4.401008  -10.015  1.114443  7.518610  0.6938235E+00  0.3002888E+00  2.2185897E-05  5.9635290E-06  3.3072126E-03  2.8185372E-04  1.2763646E-06  1.1932157E-09  8.0438135E-04  6.5060718E-05  0.000E+00  8.395E-05  1.108E-04  9.607E-01  1.044E+00  5.87E+02  0.00E+00  2.02E+02  0.494938  0.012430  0.0000000E+00  7.0057647072E-02
  7  0.418373957099957E+07    8.999620  3.627108  4.400490  0.7380571E+00  0.2559004E+00  9.7847945E-04  1.1883330E-05  2.8233310E-04  2.4507746E-03  9.7098004E-07  5.5284324E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.3219  4.400490   -9.999  1.113104  7.519090  0.6855915E+00  0.3085285E+00  2.2612050E-05  6.0773861E-06  3.3593626E-03  2.2180634E-04  9.9822434E-07  9.3959598E-10  8.0438135E-04  6.5060718E-05  0.000E+00  8.302E-05  1.101E-04  9.606E-01  1.044E+00  5.85E+02  0.00E+00  2.01E+02  0.495581  0.012580  0.0000000E+00  7.0053876945E-02
  8  0.476454256299754E+07    8.999560  3.632230  4.400001  0.7380571E+00  0.2559004E+00  9.7842860E-04  1.1908418E-05  2.8236888E-04  2.4507715E-03  9.7102065E-07  5.5283180E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.3197  4.400001   -9.984  1.112223  7.519665  0.6773625E+00  0.3167630E+00  2.2883191E-05  6.1509597E-06  3.3972179E-03  1.7827875E-04  7.9816792E-07  7.5188040E-10  8.0438135E-04  6.5060718E-05  0.000E+00  8.220E-05  1.094E-04  9.604E-01  1.044E+00  5.83E+02  0.00E+00  2.01E+02  0.496668  0.012729  0.0000000E+00  7.0050136839E-02
